strategy,mean_reward,mean_fidelity,mean_success_rate,mean_episode_length,std_reward,std_fidelity,std_success_rate
RL Agent (Proposed),135.91331989511846,0.039266668260097504,0.06105728876179547,69.22,230.33898551047196,0.10931562632322311,0.06974275185709221
Static Protocol,17.84539801068604,0.0,0.018517390212784646,21.7,32.36450274061502,0.0,0.03704662451492393
Greedy Protocol,11.29886546768248,0.0,0.036521459173781155,10.68,13.057679271397584,0.0,0.05390147152222309
Threshold Protocol (0.8/0.95),-0.009999999776482582,0.0,0.0,1.0,0.0,0.0,0.0
